director_name,actor_1_name,actor_2_name,actor_3_name,Genre,movie_title,comb
Adam Robitel, Lin Shaye,"Shaye,",Leigh Whannell,Horror Mystery Thriller,insidious: the last key," Lin Shaye Shaye, Leigh Whannell Adam Robitel Horror Mystery Thriller"
Lauren Wolkstein, Alex Pettyfer,"Pettyfer,",Emily Althaus,Thriller Drama,the strange ones," Alex Pettyfer Pettyfer, Emily Althaus Lauren Wolkstein Thriller Drama"
Simon West, Dominic Cooper,"Cooper,",Gemma Chan,Action Thriller,stratton," Dominic Cooper Cooper, Gemma Chan Simon West Action Thriller"
Warwick Thornton, Bryan Brown,"Brown,",unknown,Drama History Western,sweet country," Bryan Brown Brown, unknown Warwick Thornton Drama History Western"
Jaume Collet-Serra, Liam Neeson,"Neeson,",Patrick Wilson,Action Thriller,the commuter," Liam Neeson Neeson, Patrick Wilson Jaume Collet-Serra Action Thriller"
Babak Najafi, Taraji P. Henson,P.,Danny Glover,Thriller Action Crime,proud mary, Taraji P. Henson P. Danny Glover Babak Najafi Thriller Action Crime
Brett Donowho, Bruce Willis,"Willis,",Shawn Ashmore,Action,acts of violence," Bruce Willis Willis, Shawn Ashmore Brett Donowho Action"
Trudie Styler, Alex Lawther,"Lawther,",Bette Midler,Comedy Drama,freak show," Alex Lawther Lawther, Bette Midler Trudie Styler Comedy Drama"
Sam Hoffman, Jemaine Clement,"Clement,",Ingrid Michaelson,Comedy,humor me," Jemaine Clement Clement, Ingrid Michaelson Sam Hoffman Comedy"
Daniela Thomas, Adriano Carvalho,"Carvalho,",unknown,Drama,vazante," Adriano Carvalho Carvalho, unknown Daniela Thomas Drama"
Hiromasa Yonebayashi, Ruby Barnhill,"Barnhill,",Kate Winslet,Fantasy Adventure Animation,mary and the witch's flower," Ruby Barnhill Barnhill, Kate Winslet Hiromasa Yonebayashi Fantasy Adventure Animation"
Nicolai Fuglsig, Chris Hemsworth,"Hemsworth,",Michael Peña,War Drama Action History,12 strong," Chris Hemsworth Hemsworth, Michael Peña Nicolai Fuglsig War Drama Action History"
Christian Gudegast, Gerard Butler,"Butler,",Pablo Schreiber,Action Thriller Crime,den of thieves," Gerard Butler Butler, Pablo Schreiber Christian Gudegast Action Thriller Crime"
Bethany Ashton Wolf, Alex Roe,"Roe,",John Benjamin Hickey,Romance Drama Music,forever my girl," Alex Roe Roe, John Benjamin Hickey Bethany Ashton Wolf Romance Drama Music"
Wes Ball, Dylan O'Brien,"O'Brien,",Thomas Brodie-Sangster,Science Fiction Action,maze runner: the death cure," Dylan O'Brien O'Brien, Thomas Brodie-Sangster Wes Ball Science Fiction Action"
Ziad Doueiri, Adel Karam,"Karam,",Kamel El Basha,Comedy Crime,the insult," Adel Karam Karam, Kamel El Basha Ziad Doueiri Comedy Crime"
Ben Lewin, Dakota Fanning,"Fanning,",Alice Eve,Comedy Drama,please stand by," Dakota Fanning Fanning, Alice Eve Ben Lewin Comedy Drama"
The Spierig Brothers, Helen Mirren,"Mirren,",Sarah Snook,Thriller Horror,winchester," Helen Mirren Mirren, Sarah Snook The Spierig Brothers Thriller Horror"
Sebastián Lelio, Daniela Vega,"Vega,",unknown,Drama,a fantastic woman," Daniela Vega Vega, unknown Sebastián Lelio Drama"
Mario Van Peebles, Mario Van Peebles,Van,Ryan Guzman,Action Horror Thriller,armed, Mario Van Peebles Van Ryan Guzman Mario Van Peebles Action Horror Thriller
Julius Onah, Daniel Brühl,"Brühl,",Aksel Hennie,Action Science Fiction Thriller Horror,the cloverfield paradox," Daniel Brühl Brühl, Aksel Hennie Julius Onah Action Science Fiction Thriller Horror"
Bryan Coyne, Brea Grant,"Grant,",Aly Fitzgerald,Horror,bad apples," Brea Grant Grant, Aly Fitzgerald Bryan Coyne Horror"
Will Gluck, James Corden,"Corden,",Rose Byrne,Animation Adventure Family,peter rabbit," James Corden Corden, Rose Byrne Will Gluck Animation Adventure Family"
James Foley, Dakota Johnson,"Johnson,",Kim Basinger,Drama Romance,fifty shades freed," Dakota Johnson Johnson, Kim Basinger James Foley Drama Romance"
Clint Eastwood, Anthony Sadler,"Sadler,",Spencer Stone,History Drama Thriller,the 15:17 to paris," Anthony Sadler Sadler, Spencer Stone Clint Eastwood History Drama Thriller"
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Polo,Ryan Carnes,Comedy,la boda de valentina,Marco Polo Constandse (director); Omar Chaparro Polo Ryan Carnes Marco Polo Constandse Comedy
Surendra Poudel, Anmol K.C.,"K.C.,",Anoop Bikram Shahi,,kri,
Brian Crano, Rebecca Hall,"Hall,",Morgan Spector,Comedy Romance Drama,permission," Rebecca Hall Hall, Morgan Spector Brian Crano Comedy Romance Drama"
Holger Tappe, Emily Watson,"Watson,",Nick Frost,,monster family,
Alex Ross Perry, Emily Browning,"Browning,",Mary-Louise Parker,Drama,golden exits," Emily Browning Browning, Mary-Louise Parker Alex Ross Perry Drama"
"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan", Chadwick Boseman,"Boseman,",Lupita Nyong'o,Action Adventure Science Fiction,black panther," Chadwick Boseman Boseman, Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan Action Adventure Science Fiction"
Nick Park, Eddie Redmayne,"Redmayne,",Maisie Williams,Family Comedy Animation Adventure,early man," Eddie Redmayne Redmayne, Maisie Williams Nick Park Family Comedy Animation Adventure"
Andrey Zvyagintsev, Maryana Spivak,"Spivak,",Matvey Novikov,Comedy Romance,loveless," Maryana Spivak Spivak, Matvey Novikov Andrey Zvyagintsev Comedy Romance"
Sally Potter, Timothy Spall,"Spall,",Patricia Clarkson,Comedy,the party," Timothy Spall Spall, Patricia Clarkson Sally Potter Comedy"
Mark Pellington, Jon Hamm,"Hamm,",Amber Tamblyn,Drama,nostalgia," Jon Hamm Hamm, Amber Tamblyn Mark Pellington Drama"
Lance Daly, Hugo Weaving,"Weaving,",Stephen Rea,Drama Western,black '47," Hugo Weaving Weaving, Stephen Rea Lance Daly Drama Western"
Bruce Macdonald, Taylor James,"James,",Billy Zane,Action Drama Adventure,samson," Taylor James James, Billy Zane Bruce Macdonald Action Drama Adventure"
"Jonathan Goldstein, John Francis Daley", Jason Bateman,"Bateman,",Kyle Chandler,Mystery Comedy Crime,game night," Jason Bateman Bateman, Kyle Chandler Jonathan Goldstein, John Francis Daley Mystery Comedy Crime"
Alex Garland, Natalie Portman,"Portman,",Gina Rodriguez,Action Science Fiction Horror Mystery,annihilation," Natalie Portman Portman, Gina Rodriguez Alex Garland Action Science Fiction Horror Mystery"
Michael Sucsy, Angourie Rice,"Rice,",Debby Ryan,Drama Fantasy Romance,every day," Angourie Rice Rice, Debby Ryan Michael Sucsy Drama Fantasy Romance"
David Freyne,David Freyne (director); Ellen Page,Freyne,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,David Freyne (director); Ellen Page Freyne Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
Brian O'Malley, Charlotte Vega,"Vega,",Eugene Simon,Drama Horror Romance Thriller,the lodgers," Charlotte Vega Vega, Eugene Simon Brian O'Malley Drama Horror Romance Thriller"
Francis Lawrence, Jennifer Lawrence,"Lawrence,",Matthias Schoenaerts,Mystery Thriller,red sparrow," Jennifer Lawrence Lawrence, Matthias Schoenaerts Francis Lawrence Mystery Thriller"
Eli Roth, Bruce Willis,"Willis,",Dean Norris,Action Crime Drama Thriller,death wish," Bruce Willis Willis, Dean Norris Eli Roth Action Crime Drama Thriller"
Shawn Christensen, Logan Lerman,"Lerman,",Michelle Monaghan,Drama Mystery,the vanishing of sidney hall," Logan Lerman Lerman, Michelle Monaghan Shawn Christensen Drama Mystery"
Samuel Maoz, Lior Ashkenazi,"Ashkenazi,",Yonatan Shiray,Comedy Drama War,foxtrot," Lior Ashkenazi Ashkenazi, Yonatan Shiray Samuel Maoz Comedy Drama War"
Usher Morgan, Elyse Price,"Price,",Katie Vincent,Action Crime Thriller Drama Mystery,pickings," Elyse Price Price, Katie Vincent Usher Morgan Action Crime Thriller Drama Mystery"
Ava DuVernay, Storm Reid,"Reid,",Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time," Storm Reid Reid, Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy"
Nash Edgerton, David Oyelowo,"Oyelowo,",Joel Edgerton,Comedy Action,gringo," David Oyelowo Oyelowo, Joel Edgerton Nash Edgerton Comedy Action"
Cory Finley, Olivia Cooke,"Cooke,",Anton Yelchin,Drama Thriller,thoroughbreds," Olivia Cooke Cooke, Anton Yelchin Cory Finley Drama Thriller"
